Location,Scenario,total_sale_lb,total_demand_lb,mean_demand_per_restaurant,n_restaurants,total_employees,sample_type,use_total_demand,demand_note,surplus_deficit_lb,supply_ratio,n_fishers,sales_per_fisher,fishers_required,surplus_interpretation
Caye Caulker,Baseline,3757.814497075809,1199718.7648809524,74982.42280505953,16,149,Partial sample — total unknown,FALSE,Partial sample — total is lower bound only,-1195960.9503838767,0.003132246162248446,13,289.0626536212161,4150.376224156054,Deficit — demand exceeds local fisher supply
Caye Caulker,Bleaching,4553.306834400265,1199718.7648809524,74982.42280505953,16,149,Partial sample — total unknown,FALSE,Partial sample — total is lower bound only,-1195165.4580465523,0.003795311841148111,13,350.2543718769435,3425.2784867520663,Deficit — demand exceeds local fisher supply
Caye Caulker,Bleaching Only,3138.3230525940235,1199718.7648809524,74982.42280505953,16,149,Partial sample — total unknown,FALSE,Partial sample — total is lower bound only,-1196580.4418283585,0.002615882275464315,13,241.40946558415564,4969.642602778262,Deficit — demand exceeds local fisher supply
Caye Caulker,Bleaching Only Phase 2,3139.952482084888,1199718.7648809524,74982.42280505953,16,149,Partial sample — total unknown,FALSE,Partial sample — total is lower bound only,-1196578.8123988674,0.002617240451679077,13,241.53480631422215,4967.06368406461,Deficit — demand exceeds local fisher supply
Caye Caulker,Phase 1,7191.436602911373,1199718.7648809524,74982.42280505953,16,149,Partial sample — total unknown,FALSE,Partial sample — total is lower bound only,-1192527.328278041,0.0059942686681448846,13,553.1874309931825,2168.738293144151,Deficit — demand exceeds local fisher supply
Caye Caulker,Phase 2,5246.278227000515,1199718.7648809524,74982.42280505953,16,149,Partial sample — total unknown,FALSE,Partial sample — total is lower bound only,-1194472.486653952,0.004372923372188065,13,403.5598636154242,2972.8396529151237,Deficit — demand exceeds local fisher supply
Placencia,Baseline,11540.464413522823,623194.2420634921,20103.04006656426,31,346,Near-complete census,TRUE,Census — total is population estimate,-611653.7776499692,0.018518246213749614,9,1282.2738237247581,486.0071464714401,Deficit — demand exceeds local fisher supply
Placencia,Bleaching,8590.485304822148,623194.2420634921,20103.04006656426,31,346,Near-complete census,TRUE,Census — total is population estimate,-614603.75675867,0.013784603138144745,9,954.4983672024609,652.9023657630887,Deficit — demand exceeds local fisher supply
Placencia,Bleaching Only,9633.37642516956,623194.2420634921,20103.04006656426,31,346,Near-complete census,TRUE,Census — total is population estimate,-613560.8656383225,0.015458063914826887,9,1070.3751583521732,582.2203899265472,Deficit — demand exceeds local fisher supply
Placencia,Bleaching Only Phase 2,9647.628522166013,623194.2420634921,20103.04006656426,31,346,Near-complete census,TRUE,Census — total is population estimate,-613546.613541326,0.015480933344668317,9,1071.9587246851124,581.3602965417864,Deficit — demand exceeds local fisher supply
Placencia,Phase 1,13438.374881754158,623194.2420634921,20103.04006656426,31,346,Near-complete census,TRUE,Census — total is population estimate,-609755.8671817379,0.02156370193225411,9,1493.1527646393508,417.3680395080108,Deficit — demand exceeds local fisher supply
Placencia,Phase 2,13074.115534228726,623194.2420634921,20103.04006656426,31,346,Near-complete census,TRUE,Census — total is population estimate,-610120.1265292633,0.02097919822066763,9,1452.6795038031917,428.9963756161883,Deficit — demand exceeds local fisher supply
