Location,Scenario,total_sale_lb,total_demand_lb,mean_demand_per_restaurant,n_restaurants,total_employees,sample_type,use_total_demand,demand_note,surplus_deficit_lb,supply_ratio,n_fishers,sales_per_fisher,fishers_required,surplus_interpretation,scenario_group,delta_surplus_lb,delta_supply_ratio,delta_fishers_req,transition
Caye Caulker,Year zero,3757.814497075809,1199718.7648809524,74982.42280505953,16,149,Partial sample — total unknown,FALSE,Partial sample — total is lower bound only,-1195960.9503838767,0.003132246162248446,13,289.0626536212161,4150.376224156054,Deficit — demand exceeds local fisher supply,No Intervention,NA,NA,NA,NA
Caye Caulker,1 Year,3757.814497075809,1199718.7648809524,74982.42280505953,16,149,Partial sample — total unknown,FALSE,Partial sample — total is lower bound only,-1195960.9503838767,0.003132246162248446,13,289.0626536212161,4150.376224156054,Deficit — demand exceeds local fisher supply,No Intervention,0,0,0,Year zero → 1 Year
Caye Caulker,2 Years,3138.3230525940235,1199718.7648809524,74982.42280505953,16,149,Partial sample — total unknown,FALSE,Partial sample — total is lower bound only,-1196580.4418283585,0.002615882275464315,13,241.40946558415564,4969.642602778262,Deficit — demand exceeds local fisher supply,No Intervention,-619.4914444817696,-5.163638867841311e-4,819.2663786222074,1 Year → 2 Years
Caye Caulker,~5 Years,3139.952482084888,1199718.7648809524,74982.42280505953,16,149,Partial sample — total unknown,FALSE,Partial sample — total is lower bound only,-1196578.8123988674,0.002617240451679077,13,241.53480631422215,4967.06368406461,Deficit — demand exceeds local fisher supply,No Intervention,1.6294294910039753,1.358176214761881e-6,-2.5789187136515466,2 Years → ~5 Years
Placencia,Year zero,11540.464413522823,623194.2420634921,20103.04006656426,31,346,Near-complete census,TRUE,Census — total is population estimate,-611653.7776499692,0.018518246213749614,9,1282.2738237247581,486.0071464714401,Deficit — demand exceeds local fisher supply,No Intervention,NA,NA,NA,NA
Placencia,1 Year,11540.464413522823,623194.2420634921,20103.04006656426,31,346,Near-complete census,TRUE,Census — total is population estimate,-611653.7776499692,0.018518246213749614,9,1282.2738237247581,486.0071464714401,Deficit — demand exceeds local fisher supply,No Intervention,0,0,0,Year zero → 1 Year
Placencia,2 Years,9633.37642516956,623194.2420634921,20103.04006656426,31,346,Near-complete census,TRUE,Census — total is population estimate,-613560.8656383225,0.015458063914826887,9,1070.3751583521732,582.2203899265472,Deficit — demand exceeds local fisher supply,No Intervention,-1907.0879883533344,-0.0030601822989227267,96.21324345510715,1 Year → 2 Years
Placencia,~5 Years,9647.628522166013,623194.2420634921,20103.04006656426,31,346,Near-complete census,TRUE,Census — total is population estimate,-613546.613541326,0.015480933344668317,9,1071.9587246851124,581.3602965417864,Deficit — demand exceeds local fisher supply,No Intervention,14.252096996526234,2.2869429841429825e-5,-0.8600933847608303,2 Years → ~5 Years
Caye Caulker,Year zero,3757.814497075809,1199718.7648809524,74982.42280505953,16,149,Partial sample — total unknown,FALSE,Partial sample — total is lower bound only,-1195960.9503838767,0.003132246162248446,13,289.0626536212161,4150.376224156054,Deficit — demand exceeds local fisher supply,With Restoration,NA,NA,NA,NA
Caye Caulker,1 Year,7191.436602911373,1199718.7648809524,74982.42280505953,16,149,Partial sample — total unknown,FALSE,Partial sample — total is lower bound only,-1192527.328278041,0.0059942686681448846,13,553.1874309931825,2168.738293144151,Deficit — demand exceeds local fisher supply,With Restoration,3433.622105835704,0.0028620225058964385,-1981.6379310119032,Year zero → 1 Year
Caye Caulker,2 Years,4553.306834400265,1199718.7648809524,74982.42280505953,16,149,Partial sample — total unknown,FALSE,Partial sample — total is lower bound only,-1195165.4580465523,0.003795311841148111,13,350.2543718769435,3425.2784867520663,Deficit — demand exceeds local fisher supply,With Restoration,-2638.1297685112804,-0.0021989568269967738,1256.5401936079152,1 Year → 2 Years
Caye Caulker,~5 Years,5246.278227000515,1199718.7648809524,74982.42280505953,16,149,Partial sample — total unknown,FALSE,Partial sample — total is lower bound only,-1194472.486653952,0.004372923372188065,13,403.5598636154242,2972.8396529151237,Deficit — demand exceeds local fisher supply,With Restoration,692.9713926003315,5.776115310399542e-4,-452.43883383694265,2 Years → ~5 Years
Placencia,Year zero,11540.464413522823,623194.2420634921,20103.04006656426,31,346,Near-complete census,TRUE,Census — total is population estimate,-611653.7776499692,0.018518246213749614,9,1282.2738237247581,486.0071464714401,Deficit — demand exceeds local fisher supply,With Restoration,NA,NA,NA,NA
Placencia,1 Year,13438.374881754158,623194.2420634921,20103.04006656426,31,346,Near-complete census,TRUE,Census — total is population estimate,-609755.8671817379,0.02156370193225411,9,1493.1527646393508,417.3680395080108,Deficit — demand exceeds local fisher supply,With Restoration,1897.9104682313045,0.0030454557185044945,-68.6391069634293,Year zero → 1 Year
Placencia,2 Years,8590.485304822148,623194.2420634921,20103.04006656426,31,346,Near-complete census,TRUE,Census — total is population estimate,-614603.75675867,0.013784603138144745,9,954.4983672024609,652.9023657630887,Deficit — demand exceeds local fisher supply,With Restoration,-4847.889576932066,-0.007779098794109363,235.53432625507793,1 Year → 2 Years
Placencia,~5 Years,13074.115534228726,623194.2420634921,20103.04006656426,31,346,Near-complete census,TRUE,Census — total is population estimate,-610120.1265292633,0.02097919822066763,9,1452.6795038031917,428.9963756161883,Deficit — demand exceeds local fisher supply,With Restoration,4483.630229406641,0.007194595082522886,-223.90599014690042,2 Years → ~5 Years
